CASTEL MELLA	45	BS
CASTEGNATO	45	BS
MONTIRONE	44	BS
CURNO	44	BG
GRASSOBBIO	44	BG
PRADALUNGA	43	BG
NAVE	43	BS
MORTARA	43	PV
STRADELLA	43	PV
GORLE	42	BG
VILLA CARCINA	42	BS
SAN COLOMBANO AL LAMBRO	42	MI
BOTTICINO	42	BS
SAN GIOVANNI BIANCO	42	BG
MAGENTA	41	MI
MOZZO	41	BG
CALCINATO	41	BS
ALME'	40	BG
ROVETTA	40	BG
CARONNO PERTUSELLA	40	VA
PESCHIERA BORROMEO	40	MI
RODENGO-SAIANO	40	BS
REZZATO	40	BS
CAPRIATE SAN GERVASIO	40	BG
SORISOLE	40	BG
NOVA MILANESE	39	MB
GARDONE VAL TROMPIA	39	BS
SAN ROCCO AL PORTO	39	LO
PERSICO DOSIMO	39	CR
BONATE SOPRA	38	BG
PASSIRANO	38	BS
PONTOGLIO	38	BS
SONCINO	38	CR
LIMBIATE	38	MB
SANT'ANGELO LODIGIANO	38	LO
CASTIONE DELLA PRESOLANA	37	BG
CASSANO D'ADDA	37	MI
VERTOVA	37	BG
ALBANO SANT'ALESSANDRO	37	BG
SEDRIANO	37	MI
COLOGNO AL SERIO	37	BG
PONTERANICA	37	BG
SARONNO	36	VA
PALADINA	36	BG
GANDINO	36	BG
LEFFE	36	BG
MAPELLO	36	BG
RANICA	36	BG
SAN PELLEGRINO TERME	36	BG
BOLGARE	35	BG
CONCOREZZO	35	MB
ALBUZZANO	35	PV
ZANICA	35	BG
SEREGNO	35	MB
VERDELLO	35	BG
GOITO	34	MN
PROVAGLIO D'ISEO	34	BS
